task,#examples,#sketched,#solutions,#before_dominance
ours,40,5,10,198
ours,50,5,10,198
ours,60,5,10,198
ours,70,5,10,198
ours,80,5,10,198
ours,90,5,10,198
ours,100,5,10,198
potassco,2,5,26,390
potassco,4,5,11,171
potassco,6,5,11,165
potassco,8,5,11,165
potassco,10,5,11,159
potassco,12,5,11,159
potassco,14,5,11,159
potassco,16,5,11,159
potassco,18,5,11,159
potassco,20,5,11,159
potassco,20,5,11,159
potassco,30,5,11,159
potassco,40,5,11,159
potassco,50,5,11,159
potassco,60,5,11,159
potassco,70,5,11,159
potassco,80,5,11,159
potassco,90,5,11,159
potassco,100,5,11,159
hakank,2,5,16,76
hakank,4,5,6,26
hakank,6,5,6,24
hakank,8,5,6,24
hakank,10,5,6,18
hakank,12,5,5,17
hakank,14,5,5,17
hakank,16,5,5,17
hakank,18,5,5,17
hakank,20,5,5,17
hakank,20,5,5,17
hakank,30,5,5,17
hakank,40,5,5,17
hakank,50,5,5,17
hakank,60,5,5,17
hakank,70,5,5,17
hakank,80,5,5,17
hakank,90,5,5,17
hakank,100,5,5,17
tson,2,5,24,2673
tson,4,5,21,2277
tson,6,5,21,2277
tson,8,5,21,2277
tson,10,5,21,2277
tson,12,5,21,2277
tson,14,5,21,2277
tson,16,5,21,2277
tson,18,5,21,2277
tson,20,5,21,2277
tson,20,5,21,2277
tson,30,5,21,2277
tson,40,5,21,2277
tson,50,5,21,2277
tson,60,5,21,2277
tson,70,5,21,2277
tson,80,5,21,2277
tson,90,5,21,2277
tson,100,5,21,2277
ours,2,5,7,28
ours,4,5,7,28
ours,6,5,7,28
ours,8,5,7,28
ours,10,5,7,28
ours,12,5,7,28
ours,14,5,7,28
ours,16,5,7,28
ours,18,5,7,28
ours,20,5,7,28
ours,20,5,7,28
ours,30,5,7,28
ours,40,5,7,28
ours,50,5,7,28
ours,60,5,7,28
ours,70,5,7,28
ours,80,5,7,28
ours,90,5,7,28
ours,100,5,7,28
potassco,2,5,28,726
potassco,4,5,14,345
potassco,6,5,13,303
potassco,8,5,13,303
potassco,10,5,13,303
potassco,12,5,13,303
potassco,14,5,13,303
potassco,16,5,13,303
potassco,18,5,13,303
potassco,20,5,13,303
potassco,20,5,13,303
potassco,30,5,13,303
potassco,40,5,13,303
potassco,50,5,13,303
potassco,60,5,13,303
potassco,70,5,13,303
potassco,80,5,13,303
potassco,90,5,13,303
potassco,100,5,13,303
hakank,2,5,12,39
hakank,4,5,4,13
hakank,6,5,4,12
hakank,8,5,4,12
hakank,10,5,4,12
hakank,12,5,4,8
hakank,14,5,4,8
hakank,16,5,4,8
hakank,18,5,4,8
hakank,20,5,4,8
hakank,20,5,4,8
hakank,30,5,4,6
hakank,40,5,4,6
hakank,50,5,4,6
hakank,60,5,4,6
hakank,70,5,4,6
hakank,80,5,4,6
hakank,90,5,4,6
hakank,100,5,4,6
tson,2,5,24,243
tson,4,5,21,207
tson,6,5,21,207
tson,8,5,21,207
tson,10,5,21,207
tson,12,5,21,207
tson,14,5,21,207
tson,16,5,21,207
tson,18,5,21,207
tson,20,5,21,207
tson,20,5,21,207
tson,30,5,14,138
tson,40,5,14,138
tson,50,5,14,138
tson,60,5,14,138
tson,70,5,14,138
tson,80,5,14,138
tson,90,5,14,138
tson,100,5,14,138
ours,2,5,7,84
ours,4,5,7,84
ours,6,5,7,84
ours,8,5,7,84
ours,10,5,7,84
ours,12,5,7,84
ours,14,5,7,84
ours,16,5,7,84
ours,18,5,7,84
ours,20,5,7,84
ours,20,5,7,84
ours,30,5,7,84
ours,40,5,7,84
ours,50,5,7,84
ours,60,5,7,84
ours,70,5,7,84
ours,80,5,7,84
ours,90,5,7,84
ours,100,5,7,84
potassco,2,5,6,153
potassco,4,5,6,39
potassco,6,5,6,39
potassco,8,5,6,39
potassco,10,5,6,39
potassco,12,5,6,39
potassco,14,5,6,33
potassco,16,5,6,33
potassco,18,5,6,33
potassco,20,5,6,33
potassco,20,5,6,33
potassco,30,5,6,33
potassco,40,5,6,33
potassco,50,5,6,33
potassco,60,5,6,33
potassco,70,5,6,33
potassco,80,5,6,33
potassco,90,5,6,33
potassco,100,5,6,33
hakank,2,5,12,24
hakank,4,5,5,11
hakank,6,5,3,6
hakank,8,5,2,2
hakank,10,5,2,2
hakank,12,5,2,2
hakank,14,5,2,2
hakank,16,5,2,2
hakank,18,5,2,2
hakank,20,5,2,2
hakank,20,5,2,2
hakank,30,5,2,2
hakank,40,5,2,2
hakank,50,5,2,2
hakank,60,5,2,2
hakank,70,5,2,2
hakank,80,5,2,2
hakank,90,5,2,2
hakank,100,5,2,2
tson,2,5,6,1071
tson,4,5,6,1071
tson,6,5,6,1071
tson,8,5,6,1071
tson,10,5,6,1071
tson,12,5,6,1071
tson,14,5,6,1071
tson,16,5,6,1071
tson,18,5,6,1071
tson,20,5,6,1071
tson,20,5,6,1071
tson,30,5,6,1071
tson,40,5,6,1071
tson,50,5,6,1071
tson,60,5,6,1071
tson,70,5,6,1071
tson,80,5,6,1071
tson,90,5,6,1071
tson,100,5,6,1071
ours,2,5,10,198
ours,4,5,10,198
ours,6,5,10,198
ours,8,5,10,198
ours,10,5,10,198
ours,12,5,10,198
ours,14,5,10,198
ours,16,5,10,198
ours,18,5,10,198
ours,20,5,10,198
ours,20,5,10,198
ours,30,5,10,198
ours,40,5,10,198
ours,50,5,10,198
ours,60,5,10,198
ours,70,5,10,198
ours,80,5,10,198
ours,90,5,10,198
ours,100,5,10,198
potassco,2,5,26,2352
potassco,4,5,26,2289
potassco,6,5,26,2121
potassco,8,5,26,2121
potassco,10,5,26,2121
potassco,12,5,26,2121
potassco,14,5,26,2121
potassco,16,5,26,2121
potassco,18,5,26,2121
potassco,20,5,26,2121
potassco,20,5,26,2121
potassco,30,5,26,2121
potassco,40,5,26,2058
potassco,50,5,26,2058
potassco,60,5,26,2058
potassco,70,5,26,2058
potassco,80,5,26,2058
potassco,90,5,26,2058
potassco,100,5,26,2058
hakank,2,5,95,473
hakank,4,5,70,126
hakank,6,5,70,126
hakank,8,5,70,126
hakank,10,5,70,126
hakank,12,5,70,126
hakank,14,5,48,96
hakank,16,5,48,96
hakank,18,5,48,96
hakank,20,5,48,96
hakank,20,5,48,96
hakank,30,5,48,96
hakank,40,5,48,96
hakank,50,5,48,96
hakank,60,5,48,96
hakank,70,5,48,96
hakank,80,5,48,96
hakank,90,5,48,96
hakank,100,5,48,96
tson,2,5,105,3297
tson,4,5,105,2831
tson,6,5,105,2831
tson,8,5,105,2831
tson,10,5,105,2831
tson,12,5,105,2831
tson,14,5,105,2831
tson,16,5,105,2831
tson,18,5,105,2831
tson,20,5,105,2831
tson,20,5,105,2831
tson,30,5,105,2831
tson,40,5,105,2831
tson,50,5,105,2831
tson,60,5,105,2831
tson,70,5,105,2831
tson,80,5,105,2831
tson,90,5,105,2831
tson,100,5,105,2831
ours,2,5,24,201
ours,4,5,20,147
ours,6,5,19,135
ours,8,5,19,129
ours,10,5,18,117
ours,12,5,18,117
ours,14,5,18,117
ours,16,5,18,117
ours,18,5,18,117
ours,20,5,18,117
ours,20,5,18,117
ours,30,5,18,117
ours,40,5,18,117
ours,50,5,18,117
ours,60,5,18,117
ours,70,5,18,117
ours,80,5,18,117
ours,90,5,18,117
ours,100,5,18,117
potassco,2,5,49,1083
potassco,4,5,36,675
potassco,6,5,36,675
potassco,8,5,36,585
potassco,10,5,36,585
potassco,12,5,36,585
potassco,14,5,36,585
potassco,16,5,36,585
potassco,18,5,36,585
potassco,20,5,36,585
potassco,20,5,36,585
potassco,30,5,36,495
potassco,40,5,36,495
potassco,50,5,36,495
potassco,60,5,36,495
potassco,70,5,36,495
potassco,80,5,36,495
potassco,90,5,36,495
potassco,100,5,36,495
hakank,2,5,12,117
hakank,4,5,12,108
hakank,6,5,12,84
hakank,8,5,12,70
hakank,10,5,12,30
hakank,12,5,12,30
hakank,14,5,12,30
hakank,16,5,12,30
hakank,18,5,12,30
hakank,20,5,12,30
hakank,20,5,12,30
hakank,30,5,12,30
hakank,40,5,12,30
hakank,50,5,12,30
hakank,60,5,12,30
hakank,70,5,12,30
hakank,80,5,12,30
hakank,90,5,12,30
hakank,100,5,12,30
tson,2,5,6,1071
tson,4,5,6,1071
tson,6,5,6,1071
tson,8,5,6,1071
tson,10,5,6,1071
tson,12,5,6,1071
tson,14,5,6,1071
tson,16,5,6,1071
tson,18,5,6,1071
tson,20,5,6,1071
tson,20,5,6,1071
tson,30,5,6,1071
tson,40,5,6,1071
tson,50,5,6,1071
tson,60,5,6,1071
tson,70,5,6,1071
tson,80,5,6,1071
tson,90,5,6,1071
tson,100,5,6,1071
ours,2,5,12,306
ours,4,5,10,198
ours,6,5,10,198
ours,8,5,10,198
ours,10,5,10,198
ours,12,5,10,198
ours,14,5,10,198
ours,16,5,10,198
ours,18,5,10,198
ours,20,5,10,198
ours,20,5,10,198
ours,30,5,10,198
ours,40,5,8,162
ours,50,5,8,162
ours,60,5,8,162
ours,70,5,8,162
ours,80,5,8,162
ours,90,5,8,162
ours,100,5,8,162
potassco,2,5,11,110
potassco,4,5,11,53
potassco,6,5,11,53
potassco,8,5,11,53
potassco,10,5,11,53
potassco,12,5,11,53
potassco,14,5,11,53
potassco,16,5,11,53
potassco,18,5,11,53
potassco,20,5,11,53
potassco,20,5,11,53
potassco,30,5,11,53
potassco,40,5,11,53
potassco,50,5,11,53
potassco,60,5,11,53
potassco,70,5,11,53
potassco,80,5,11,53
potassco,90,5,11,53
potassco,100,5,11,53
hakank,2,5,18,510
hakank,4,5,15,189
hakank,6,5,15,135
hakank,8,5,12,120
hakank,10,5,12,120
hakank,12,5,12,120
hakank,14,5,12,120
hakank,16,5,12,120
hakank,18,5,12,120
hakank,20,5,12,120
hakank,20,5,12,120
hakank,30,5,12,120
hakank,40,5,6,90
hakank,50,5,6,90
hakank,60,5,6,72
hakank,70,5,6,72
hakank,80,5,6,72
hakank,90,5,6,72
hakank,100,5,6,72
tson,2,5,15,459
tson,4,5,6,102
tson,6,5,6,102
tson,8,5,6,102
tson,10,5,6,102
tson,12,5,6,102
tson,14,5,6,102
tson,16,5,6,102
tson,18,5,6,102
tson,20,5,6,102
tson,20,5,6,102
tson,30,5,6,102
tson,40,5,6,102
tson,50,5,6,102
tson,60,5,6,102
tson,70,5,6,102
tson,80,5,6,102
tson,90,5,6,102
tson,100,5,6,102
ours,2,5,10,198
ours,4,5,10,198
ours,6,5,10,198
ours,8,5,10,198
ours,10,5,10,198
ours,12,5,10,198
ours,14,5,10,198
ours,16,5,10,198
ours,18,5,10,198
ours,20,5,10,198
ours,20,5,10,198
ours,30,5,10,198
ours,40,5,10,198
ours,50,5,10,198
ours,60,5,10,198
ours,70,5,10,198
ours,80,5,10,198
ours,90,5,10,198
ours,100,5,10,198
potassco,2,5,12,621
potassco,4,5,11,513
potassco,6,5,11,405
potassco,8,5,11,405
potassco,10,5,11,387
potassco,12,5,11,387
potassco,14,5,11,387
potassco,16,5,11,369
potassco,18,5,11,369
potassco,20,5,11,369
potassco,20,5,11,369
potassco,30,5,11,369
potassco,40,5,11,369
potassco,50,5,11,369
potassco,60,5,11,369
potassco,70,5,11,369
potassco,80,5,11,369
potassco,90,5,11,369
potassco,100,5,11,369
hakank,2,5,24,192
hakank,4,5,21,168
hakank,6,5,15,90
hakank,8,5,12,72
hakank,10,5,12,72
hakank,12,5,9,45
hakank,14,5,9,45
hakank,16,5,9,45
hakank,18,5,6,30
hakank,20,5,6,30
hakank,20,5,6,30
hakank,30,5,6,30
hakank,40,5,6,30
hakank,50,5,6,30
hakank,60,5,6,30
hakank,70,5,6,30
hakank,80,5,6,30
hakank,90,5,6,30
hakank,100,5,6,30
tson,2,5,16,486
tson,4,5,16,486
tson,6,5,14,414
tson,8,5,14,414
tson,10,5,14,414
tson,12,5,14,414
tson,14,5,14,414
tson,16,5,14,414
tson,18,5,14,414
tson,20,5,14,414
tson,20,5,14,414
tson,30,5,14,414
tson,40,5,14,414
tson,50,5,14,414
tson,60,5,14,414
tson,70,5,14,414
tson,80,5,14,414
tson,90,5,14,414
tson,100,5,14,414
ours,2,5,7,81
ours,4,5,7,63
ours,6,5,7,63
ours,8,5,7,63
ours,10,5,7,63
ours,12,5,7,63
ours,14,5,7,63
ours,16,5,7,63
ours,18,5,7,63
ours,20,5,7,63
ours,20,5,7,63
ours,30,5,7,63
ours,40,5,7,63
ours,50,5,7,63
ours,60,5,7,63
ours,70,5,7,63
ours,80,5,7,63
ours,90,5,7,63
ours,100,5,7,63
potassco,2,5,77,1311
potassco,4,5,66,901
potassco,6,5,66,901
potassco,8,5,66,901
potassco,10,5,66,689
potassco,12,5,66,689
potassco,14,5,66,689
potassco,16,5,66,689
potassco,18,5,66,689
potassco,20,5,66,689
potassco,20,5,66,689
potassco,30,5,66,583
potassco,40,5,66,583
potassco,50,5,66,583
potassco,60,5,66,583
potassco,70,5,66,583
potassco,80,5,66,583
potassco,90,5,66,583
potassco,100,5,66,583
hakank,2,5,30,399
hakank,4,5,20,221
hakank,6,5,20,135
hakank,8,5,20,135
hakank,10,5,20,135
hakank,12,5,20,135
hakank,14,5,20,117
hakank,16,5,20,117
hakank,18,5,20,117
hakank,20,5,20,117
hakank,20,5,20,117
hakank,30,5,16,78
hakank,40,5,16,78
hakank,50,5,16,78
hakank,60,5,16,78
hakank,70,5,16,78
hakank,80,5,16,78
hakank,90,5,16,78
hakank,100,5,16,78
tson,2,5,28,1701
tson,4,5,26,1617
tson,6,5,26,1617
tson,8,5,26,1617
tson,10,5,26,1617
tson,12,5,26,1617
tson,14,5,24,1533
tson,16,5,24,1533
tson,18,5,24,1533
tson,20,5,24,1533
tson,20,5,24,1533
tson,30,5,24,1533
tson,40,5,24,1533
tson,50,5,24,1533
tson,60,5,24,1533
tson,70,5,24,1533
tson,80,5,24,1533
tson,90,5,24,1533
tson,100,5,24,1533
ours,2,5,10,66
ours,4,5,10,66
ours,6,5,10,66
ours,8,5,10,66
ours,10,5,10,66
ours,12,5,10,66
ours,14,5,10,66
ours,16,5,10,66
ours,18,5,10,66
ours,20,5,10,66
ours,20,5,10,66
ours,30,5,10,66
ours,40,5,10,66
ours,50,5,10,66
ours,60,5,10,66
ours,70,5,10,66
ours,80,5,10,66
ours,90,5,10,66
ours,100,5,10,66
potassco,2,5,24,1512
potassco,4,5,24,1302
potassco,6,5,24,1236
potassco,8,5,24,1236
potassco,10,5,24,1236
potassco,12,5,24,1236
potassco,14,5,24,1236
potassco,16,5,24,1236
potassco,18,5,24,1236
potassco,20,5,24,1236
potassco,20,5,24,1236
potassco,30,5,24,1236
potassco,40,5,24,1218
potassco,50,5,24,1218
potassco,60,5,24,1218
potassco,70,5,24,1218
potassco,80,5,24,1218
potassco,90,5,24,1218
potassco,100,5,24,1218
hakank,2,5,16,96
hakank,4,5,14,84
hakank,6,5,10,60
hakank,8,5,10,60
hakank,10,5,6,36
hakank,12,5,6,36
hakank,14,5,6,36
hakank,16,5,6,36
hakank,18,5,2,12
hakank,20,5,2,12
hakank,20,5,2,12
hakank,30,5,2,12
hakank,40,5,2,12
hakank,50,5,2,6
hakank,60,5,2,6
hakank,70,5,2,6
hakank,80,5,2,6
hakank,90,5,2,6
hakank,100,5,2,6
tson,2,5,30,135
tson,4,5,24,72
tson,6,5,10,30
tson,8,5,10,30
tson,10,5,8,24
tson,12,5,8,24
tson,14,5,8,24
tson,16,5,8,24
tson,18,5,8,24
tson,20,5,8,24
tson,20,5,8,24
tson,30,5,8,24
tson,40,5,8,24
tson,50,5,8,24
tson,60,5,8,24
tson,70,5,8,24
tson,80,5,8,24
tson,90,5,8,24
tson,100,5,8,24
ours,2,5,29,540
ours,4,5,25,423
ours,6,5,24,375
ours,8,5,24,375
ours,10,5,23,354
ours,12,5,23,336
ours,14,5,23,336
ours,16,5,23,336
ours,18,5,23,336
ours,20,5,23,336
ours,20,5,23,336
ours,30,5,23,330
ours,40,5,23,330
ours,50,5,23,330
ours,60,5,23,330
ours,70,5,23,330
ours,80,5,23,330
