model,examples,precision
ours,6,1.0
ours,5,1.0
ours,4,0.5046
ours,3,0.5046
ours,2,0.08793333333333332
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.5410714285714285
potassco,2,0.14924939253562106
hakank,6,1.0
hakank,5,1.0
hakank,4,0.2826549929010885
hakank,3,0.2826549929010885
hakank,2,0.11170371080117876
tson,6,0.8124745762711865
tson,5,0.8124745762711865
tson,4,0.8124745762711865
tson,3,0.11344313469263938
tson,2,0.11344313469263938
ours,6,1.0
ours,5,1.0
ours,4,1.0
ours,3,0.7608849976336962
ours,2,0.08252153821884063
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.5217699952673923
potassco,2,0.108936661934059
hakank,6,0.39026461602195645
hakank,5,0.39026461602195645
hakank,4,0.17966780163360344
hakank,3,0.0887790218965776
hakank,2,0.053239210271774876
tson,6,1.0
tson,5,1.0
tson,4,1.0
tson,3,0.14601784869177203
tson,2,0.08077851396119262
ours,6,1.0
ours,5,0.6697333333333333
ours,4,0.5046
ours,3,0.5046
ours,2,0.5046
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.5410714285714285
potassco,2,0.28372071191941045
hakank,6,0.5560975609756098
hakank,5,0.5560975609756098
hakank,4,0.10049083169487634
hakank,3,0.10049083169487634
hakank,2,0.05740584530021011
tson,6,1.0
tson,5,1.0
tson,4,1.0
tson,3,0.36235999368985644
tson,2,0.07391195283734857
ours,6,1.0
ours,5,0.5046
ours,4,0.5046
ours,3,0.3850424988168481
ours,2,0.3850424988168481
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.36235999368985644
potassco,2,0.03409649318769201
hakank,6,1.0
hakank,5,1.0
hakank,4,0.2826549929010885
hakank,3,0.2826549929010885
hakank,2,0.15206058701419212
tson,6,1.0
tson,5,1.0
tson,4,1.0
tson,3,0.2642615311806036
tson,2,0.14878916232844297
ours,6,1.0
ours,5,1.0
ours,4,1.0
ours,3,0.7608849976336962
ours,2,0.17624111058526581
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.5410714285714285
potassco,2,0.04684989481209712
hakank,6,1.0
hakank,5,1.0
hakank,4,1.0
hakank,3,0.36235999368985644
hakank,2,0.3007008128774552
tson,6,1.0
tson,5,1.0
tson,4,1.0
tson,3,0.36235999368985644
tson,2,0.13455110690434874
ours,6,1.0
ours,5,0.5046
ours,4,0.5046
ours,3,0.5046
ours,2,0.08793333333333332
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.5217699952673923
potassco,2,0.04540007343037853
hakank,6,1.0
hakank,5,1.0
hakank,4,1.0
hakank,3,0.09786476379693555
hakank,2,0.09967250608906036
tson,6,1.0
tson,5,1.0
tson,4,1.0
tson,3,0.1710679917968134
tson,2,0.1710679917968134
ours,6,1.0
ours,5,1.0
ours,4,1.0
ours,3,1.0
ours,2,0.17049999999999998
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,1.0
potassco,2,0.1171138374167243
hakank,6,0.39026461602195645
hakank,5,0.39026461602195645
hakank,4,0.17966780163360344
hakank,3,0.0887790218965776
hakank,2,0.053239210271774876
tson,6,0.9
tson,5,0.9
tson,4,0.9
tson,3,0.2814455487195667
tson,2,0.0928162166645661
ours,6,1.0
ours,5,1.0
ours,4,1.0
ours,3,1.0
ours,2,0.17049999999999998
potassco,6,0.5560975609756098
potassco,5,0.5560975609756098
potassco,4,0.5560975609756098
potassco,3,0.10838239489347849
potassco,2,0.04058265738119035
hakank,6,1.0
hakank,5,1.0
hakank,4,0.37864286446620143
hakank,3,0.19964476398889816
hakank,2,0.1590280489123535
tson,6,0.6899473009542799
tson,5,0.6899473009542799
tson,4,0.6899473009542799
tson,3,0.4424114656035144
tson,2,0.1427861303252283
ours,6,1.0
ours,5,0.5046
ours,4,0.5046
ours,3,0.3850424988168481
ours,2,0.3850424988168481
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.5410714285714285
potassco,2,0.5410714285714285
hakank,6,1.0
hakank,5,1.0
hakank,4,1.0
hakank,3,0.2826549929010885
hakank,2,0.24926864840892113
tson,6,1.0
tson,5,1.0
tson,4,1.0
tson,3,0.21885476344576285
tson,2,0.12189818023838296
ours,6,1.0
ours,5,0.5046
ours,4,0.5046
ours,3,0.3850424988168481
ours,2,0.3850424988168481
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.5410714285714285
potassco,2,0.06596241321385667
hakank,6,0.39026461602195645
hakank,5,0.39026461602195645
hakank,4,0.22504373866654304
hakank,3,0.22504373866654304
hakank,2,0.08552239983090931
tson,6,0.8660532687651331
tson,5,0.8660532687651331
tson,4,0.8660532687651331
tson,3,0.2234647701476734
tson,2,0.12461921042991864
ours,6,1.0
ours,5,1.0
ours,4,0.5046
ours,3,0.5046
ours,2,0.5046
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.18569182997382577
potassco,2,0.029704450846293858
hakank,6,1.0
hakank,5,1.0
hakank,4,0.2826549929010885
hakank,3,0.08400249645054425
hakank,2,0.07436816068244798
tson,6,0.6899473009542799
tson,5,0.6899473009542799
tson,4,0.6899473009542799
tson,3,0.4424114656035144
tson,2,0.4424114656035144
ours,6,1.0
ours,5,1.0
ours,4,0.5046
ours,3,0.5046
ours,2,0.5046
potassco,6,0.5560975609756098
potassco,5,0.5560975609756098
potassco,4,0.5560975609756098
potassco,3,0.10838239489347849
potassco,2,0.04147970153240847
hakank,6,1.0
hakank,5,1.0
hakank,4,0.23483199242782776
hakank,3,0.23483199242782776
hakank,2,0.23483199242782776
tson,6,0.9
tson,5,0.9
tson,4,0.9
tson,3,0.580556711438405
tson,2,0.09282122614099068
ours,6,1.0
ours,5,1.0
ours,4,1.0
ours,3,0.7608849976336962
ours,2,0.17624111058526581
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.12646189687422532
potassco,2,0.12646189687422532
hakank,6,1.0
hakank,5,1.0
hakank,4,1.0
hakank,3,0.5217699952673923
hakank,2,0.5217699952673923
tson,6,1.0
tson,5,1.0
tson,4,1.0
tson,3,0.6701862036326843
tson,2,0.23944166497644964
ours,6,1.0
ours,5,0.5046
ours,4,0.5046
ours,3,0.5046
ours,2,0.08793333333333332
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.18569182997382577
potassco,2,0.07130108528030236
hakank,6,1.0
hakank,5,1.0
hakank,4,0.5217699952673923
hakank,3,0.1189403551424852
hakank,2,0.082678736175613
tson,6,0.6899473009542799
tson,5,0.6899473009542799
tson,4,0.6899473009542799
tson,3,0.4424114656035144
tson,2,0.3061951494916241
ours,6,1.0
ours,5,1.0
ours,4,0.5046
ours,3,0.3850424988168481
ours,2,0.3850424988168481
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.5410714285714285
potassco,2,0.19793713970207108
hakank,6,1.0
hakank,5,1.0
hakank,4,0.5217699952673923
hakank,3,0.15021999526739233
hakank,2,0.13266832325793904
tson,6,1.0
tson,5,1.0
tson,4,1.0
tson,3,0.2642615311806036
tson,2,0.14878916232844297
ours,6,1.0
ours,5,0.5046
ours,4,0.5046
ours,3,0.5046
ours,2,0.5046
potassco,6,0.5560975609756098
potassco,5,0.5560975609756098
potassco,4,0.5560975609756098
potassco,3,0.08028401967137784
potassco,2,0.08028401967137784
hakank,6,1.0
hakank,5,1.0
hakank,4,0.2826549929010885
hakank,3,0.08400249645054425
hakank,2,0.07436816068244798
tson,6,1.0
tson,5,1.0
tson,4,1.0
tson,3,0.3168142789534176
tson,2,0.13073555240048376
ours,6,1.0
ours,5,0.6697333333333333
ours,4,0.5046
ours,3,0.5046
ours,2,0.5046
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.12646189687422532
potassco,2,0.031128371043953156
hakank,6,1.0
hakank,5,1.0
hakank,4,0.37864286446620143
hakank,3,0.11014571375024652
hakank,2,0.07790274191090073
tson,6,0.9
tson,5,0.9
tson,4,0.9
tson,3,0.580556711438405
tson,2,0.11158028326781431
ours,6,1.0
ours,5,0.6697333333333333
ours,4,0.5046
ours,3,0.5046
ours,2,0.5046
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.5410714285714285
potassco,2,0.5410714285714285
hakank,6,0.39026461602195645
hakank,5,0.39026461602195645
hakank,4,0.22504373866654304
hakank,3,0.22504373866654304
hakank,2,0.06477472669004743
tson,6,1.0
tson,5,1.0
tson,4,1.0
tson,3,0.6701862036326843
tson,2,0.23944166497644964
ours,6,1.0
ours,5,1.0
ours,4,1.0
ours,3,0.7608849976336962
ours,2,0.17624111058526581
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.20294999211232057
potassco,2,0.20294999211232057
hakank,6,1.0
hakank,5,1.0
hakank,4,0.2826549929010885
hakank,3,0.10607499605616028
hakank,2,0.08851395144463593
tson,6,0.508730237857855
tson,5,0.508730237857855
tson,4,0.508730237857855
tson,3,0.4212057328017572
tson,2,0.13672734952472623
ours,6,1.0
ours,5,1.0
ours,4,0.5046
ours,3,0.3850424988168481
ours,2,0.3850424988168481
potassco,6,1.0
potassco,5,1.0
potassco,4,1.0
potassco,3,0.12646189687422532
potassco,2,0.05019507621000759
hakank,6,0.39026461602195645
hakank,5,0.39026461602195645
hakank,4,0.17966780163360344
hakank,3,0.0887790218965776
hakank,2,0.053239210271774876
tson,6,1.0
tson,5,1.0
tson,4,1.0
tson,3,0.2861134228768101
tson,2,0.17373205900341784
